CELL_ID,VALUE,ANNOTATION_LABEL
1,0,Proximal tubules (CD183++/CD227-)
2,9,Myeloid cells (CD45+/CD11b+)
3,8,Macrophages (CD45+/CD68+)
4,1,VSMCs (aSMA+)
5,1,VSMCs (aSMA+)
6,4,Distal tubules (CD183+/CD227+)
7,0,Proximal tubules (CD183++/CD227-)
8,4,Distal tubules (CD183+/CD227+)
9,1,VSMCs (aSMA+)
10,0,Proximal tubules (CD183++/CD227-)
11,0,Proximal tubules (CD183++/CD227-)
12,5,Low expressing cells
13,1,VSMCs (aSMA+)
14,4,Distal tubules (CD183+/CD227+)
15,1,VSMCs (aSMA+)
16,8,Macrophages (CD45+/CD68+)
17,1,VSMCs (aSMA+)
18,1,VSMCs (aSMA+)
19,1,VSMCs (aSMA+)
20,0,Proximal tubules (CD183++/CD227-)
21,0,Proximal tubules (CD183++/CD227-)
22,1,VSMCs (aSMA+)
23,0,Proximal tubules (CD183++/CD227-)
24,0,Proximal tubules (CD183++/CD227-)
25,0,Proximal tubules (CD183++/CD227-)
26,6,Basement membrane (collagenIV+/Perlecan+)
27,1,VSMCs (aSMA+)
28,0,Proximal tubules (CD183++/CD227-)
29,0,Proximal tubules (CD183++/CD227-)
30,1,VSMCs (aSMA+)
31,1,VSMCs (aSMA+)
32,0,Proximal tubules (CD183++/CD227-)
33,1,VSMCs (aSMA+)
34,2,Immune cells (CD45+)
35,0,Proximal tubules (CD183++/CD227-)
36,1,VSMCs (aSMA+)
37,0,Proximal tubules (CD183++/CD227-)
38,0,Proximal tubules (CD183++/CD227-)
39,1,VSMCs (aSMA+)
40,6,Basement membrane (collagenIV+/Perlecan+)
41,1,VSMCs (aSMA+)
42,1,VSMCs (aSMA+)
43,8,Macrophages (CD45+/CD68+)
44,0,Proximal tubules (CD183++/CD227-)
45,2,Immune cells (CD45+)
46,8,Macrophages (CD45+/CD68+)
47,1,VSMCs (aSMA+)
48,0,Proximal tubules (CD183++/CD227-)
49,0,Proximal tubules (CD183++/CD227-)
50,3,Endothelial cells (CD31+)
51,2,Immune cells (CD45+)
52,10,Nestin+ cells (nestin+)
53,0,Proximal tubules (CD183++/CD227-)
54,1,VSMCs (aSMA+)
55,0,Proximal tubules (CD183++/CD227-)
56,4,Distal tubules (CD183+/CD227+)
57,0,Proximal tubules (CD183++/CD227-)
58,0,Proximal tubules (CD183++/CD227-)
59,0,Proximal tubules (CD183++/CD227-)
60,1,VSMCs (aSMA+)
61,0,Proximal tubules (CD183++/CD227-)
62,6,Basement membrane (collagenIV+/Perlecan+)
63,8,Macrophages (CD45+/CD68+)
64,0,Proximal tubules (CD183++/CD227-)
65,4,Distal tubules (CD183+/CD227+)
66,1,VSMCs (aSMA+)
67,5,Low expressing cells
68,10,Nestin+ cells (nestin+)
69,3,Endothelial cells (CD31+)
70,0,Proximal tubules (CD183++/CD227-)
71,1,VSMCs (aSMA+)
72,1,VSMCs (aSMA+)
73,3,Endothelial cells (CD31+)
74,6,Basement membrane (collagenIV+/Perlecan+)
75,8,Macrophages (CD45+/CD68+)
76,0,Proximal tubules (CD183++/CD227-)
77,1,VSMCs (aSMA+)
78,1,VSMCs (aSMA+)
79,0,Proximal tubules (CD183++/CD227-)
80,0,Proximal tubules (CD183++/CD227-)
81,1,VSMCs (aSMA+)
82,1,VSMCs (aSMA+)
83,0,Proximal tubules (CD183++/CD227-)
84,4,Distal tubules (CD183+/CD227+)
85,3,Endothelial cells (CD31+)
86,1,VSMCs (aSMA+)
87,0,Proximal tubules (CD183++/CD227-)
88,1,VSMCs (aSMA+)
89,0,Proximal tubules (CD183++/CD227-)
90,1,VSMCs (aSMA+)
91,0,Proximal tubules (CD183++/CD227-)
92,4,Distal tubules (CD183+/CD227+)
93,1,VSMCs (aSMA+)
94,8,Macrophages (CD45+/CD68+)
95,0,Proximal tubules (CD183++/CD227-)
96,5,Low expressing cells
97,0,Proximal tubules (CD183++/CD227-)
98,3,Endothelial cells (CD31+)
99,2,Immune cells (CD45+)
100,0,Proximal tubules (CD183++/CD227-)
101,0,Proximal tubules (CD183++/CD227-)
102,6,Basement membrane (collagenIV+/Perlecan+)
103,0,Proximal tubules (CD183++/CD227-)
104,3,Endothelial cells (CD31+)
105,0,Proximal tubules (CD183++/CD227-)
106,1,VSMCs (aSMA+)
107,3,Endothelial cells (CD31+)
108,0,Proximal tubules (CD183++/CD227-)
109,1,VSMCs (aSMA+)
110,0,Proximal tubules (CD183++/CD227-)
111,4,Distal tubules (CD183+/CD227+)
112,5,Low expressing cells
113,0,Proximal tubules (CD183++/CD227-)
114,0,Proximal tubules (CD183++/CD227-)
115,8,Macrophages (CD45+/CD68+)
116,1,VSMCs (aSMA+)
117,3,Endothelial cells (CD31+)
118,0,Proximal tubules (CD183++/CD227-)
119,3,Endothelial cells (CD31+)
120,1,VSMCs (aSMA+)
121,1,VSMCs (aSMA+)
122,3,Endothelial cells (CD31+)
123,6,Basement membrane (collagenIV+/Perlecan+)
124,0,Proximal tubules (CD183++/CD227-)
125,3,Endothelial cells (CD31+)
126,2,Immune cells (CD45+)
127,0,Proximal tubules (CD183++/CD227-)
128,5,Low expressing cells
129,3,Endothelial cells (CD31+)
130,4,Distal tubules (CD183+/CD227+)
131,0,Proximal tubules (CD183++/CD227-)
132,2,Immune cells (CD45+)
133,1,VSMCs (aSMA+)
134,1,VSMCs (aSMA+)
135,0,Proximal tubules (CD183++/CD227-)
136,4,Distal tubules (CD183+/CD227+)
137,0,Proximal tubules (CD183++/CD227-)
138,1,VSMCs (aSMA+)
139,0,Proximal tubules (CD183++/CD227-)
140,0,Proximal tubules (CD183++/CD227-)
141,6,Basement membrane (collagenIV+/Perlecan+)
142,4,Distal tubules (CD183+/CD227+)
143,0,Proximal tubules (CD183++/CD227-)
144,0,Proximal tubules (CD183++/CD227-)
145,0,Proximal tubules (CD183++/CD227-)
146,0,Proximal tubules (CD183++/CD227-)
147,4,Distal tubules (CD183+/CD227+)
148,0,Proximal tubules (CD183++/CD227-)
149,0,Proximal tubules (CD183++/CD227-)
150,1,VSMCs (aSMA+)
151,1,VSMCs (aSMA+)
152,3,Endothelial cells (CD31+)
153,1,VSMCs (aSMA+)
154,0,Proximal tubules (CD183++/CD227-)
155,0,Proximal tubules (CD183++/CD227-)
156,4,Distal tubules (CD183+/CD227+)
157,5,Low expressing cells
158,6,Basement membrane (collagenIV+/Perlecan+)
159,1,VSMCs (aSMA+)
160,0,Proximal tubules (CD183++/CD227-)
161,0,Proximal tubules (CD183++/CD227-)
162,5,Low expressing cells
163,5,Low expressing cells
164,0,Proximal tubules (CD183++/CD227-)
165,0,Proximal tubules (CD183++/CD227-)
166,6,Basement membrane (collagenIV+/Perlecan+)
167,0,Proximal tubules (CD183++/CD227-)
168,0,Proximal tubules (CD183++/CD227-)
169,0,Proximal tubules (CD183++/CD227-)
170,6,Basement membrane (collagenIV+/Perlecan+)
171,0,Proximal tubules (CD183++/CD227-)
172,1,VSMCs (aSMA+)
173,9,Myeloid cells (CD45+/CD11b+)
174,3,Endothelial cells (CD31+)
175,8,Macrophages (CD45+/CD68+)
176,1,VSMCs (aSMA+)
177,0,Proximal tubules (CD183++/CD227-)
178,8,Macrophages (CD45+/CD68+)
179,1,VSMCs (aSMA+)
180,6,Basement membrane (collagenIV+/Perlecan+)
181,1,VSMCs (aSMA+)
182,6,Basement membrane (collagenIV+/Perlecan+)
183,0,Proximal tubules (CD183++/CD227-)
184,0,Proximal tubules (CD183++/CD227-)
185,0,Proximal tubules (CD183++/CD227-)
186,5,Low expressing cells
187,0,Proximal tubules (CD183++/CD227-)
188,1,VSMCs (aSMA+)
189,0,Proximal tubules (CD183++/CD227-)
190,0,Proximal tubules (CD183++/CD227-)
191,8,Macrophages (CD45+/CD68+)
192,1,VSMCs (aSMA+)
193,0,Proximal tubules (CD183++/CD227-)
194,4,Distal tubules (CD183+/CD227+)
195,1,VSMCs (aSMA+)
196,0,Proximal tubules (CD183++/CD227-)
197,8,Macrophages (CD45+/CD68+)
198,5,Low expressing cells
199,1,VSMCs (aSMA+)
200,1,VSMCs (aSMA+)
201,0,Proximal tubules (CD183++/CD227-)
202,0,Proximal tubules (CD183++/CD227-)
203,0,Proximal tubules (CD183++/CD227-)
204,0,Proximal tubules (CD183++/CD227-)
205,0,Proximal tubules (CD183++/CD227-)
206,1,VSMCs (aSMA+)
207,1,VSMCs (aSMA+)
208,1,VSMCs (aSMA+)
209,1,VSMCs (aSMA+)
210,0,Proximal tubules (CD183++/CD227-)
211,0,Proximal tubules (CD183++/CD227-)
212,0,Proximal tubules (CD183++/CD227-)
213,0,Proximal tubules (CD183++/CD227-)
214,0,Proximal tubules (CD183++/CD227-)
215,3,Endothelial cells (CD31+)
216,0,Proximal tubules (CD183++/CD227-)
217,1,VSMCs (aSMA+)
218,0,Proximal tubules (CD183++/CD227-)
219,1,VSMCs (aSMA+)
220,0,Proximal tubules (CD183++/CD227-)
221,0,Proximal tubules (CD183++/CD227-)
222,1,VSMCs (aSMA+)
223,1,VSMCs (aSMA+)
224,0,Proximal tubules (CD183++/CD227-)
225,1,VSMCs (aSMA+)
226,5,Low expressing cells
227,2,Immune cells (CD45+)
228,1,VSMCs (aSMA+)
229,1,VSMCs (aSMA+)
