CELL_ID,X,Y
1,2170,4
2,2145,6
3,2222,7
4,2127,12
5,2264,13
6,2110,15
7,2241,17
8,2442,19
9,2101,20
10,2464,20
11,2224,22
12,2130,27
13,2210,27
14,2193,27
15,2162,36
16,2176,40
17,2053,40
18,2607,40
19,2627,39
20,2202,40
21,2674,43
22,2284,44
23,2431,45
24,2032,47
25,2370,47
26,2127,50
27,2297,51
28,1941,52
29,2389,55
30,2492,55
31,2046,57
32,2474,57
33,2787,57
34,2313,58
35,2327,58
36,2432,59
37,2104,62
38,2271,63
39,2025,65
40,2731,63
41,2291,66
42,2361,67
43,1953,68
44,2692,68
45,2802,69
46,2639,68
47,2057,70
48,2171,70
49,2708,71
50,2750,73
51,2071,74
52,2301,73
53,2007,75
54,2592,76
55,2655,76
56,2725,78
57,2871,75
58,2029,77
59,2381,76
60,2821,79
61,2853,79
62,2345,79
63,2043,81
64,2123,81
65,2310,81
66,2360,81
67,1945,83
68,2242,84
69,2297,87
70,2320,86
71,2017,87
72,2156,88
73,2474,87
74,2924,89
75,2054,92
76,2191,91
77,2427,90
78,2676,91
79,2375,94
80,2354,95
81,2938,93
82,2585,96
83,2884,98
84,2901,97
85,1883,98
86,2259,97
87,2442,99
88,2730,100
89,1833,101
90,2851,100
91,1819,99
92,2103,101
93,2542,103
94,2921,104
95,2949,103
96,1850,103
97,2485,104
98,1984,105
99,1903,107
100,2302,107
101,2381,107
102,2821,107
103,1959,108
104,2132,110
105,2421,109
106,2754,110
107,3049,110
108,2050,111
109,2257,112
110,3004,111
111,1742,112
112,1815,113
113,2775,113
114,3093,112
115,1841,114
116,1779,115
117,2398,116
118,1970,116
119,2499,117
120,2667,115
121,1890,117
122,2061,117
123,1789,117
124,2033,119
125,2242,119
126,2695,120
127,1855,121
128,1989,120
129,3112,122
130,1748,123
131,1948,126
132,2430,124
133,2591,124
134,2565,125
135,2674,125
136,1831,127
137,2110,126
138,2086,127
139,2377,126
140,2618,127
141,2839,127
142,1796,129
143,2049,129
144,2068,128
145,2034,131
146,2126,130
147,2304,130
148,2818,130
149,1687,131
150,2171,129
151,2662,131
152,2243,133
153,2443,133
154,3129,135
155,2324,135
156,1641,137
157,1823,138
158,1872,136
159,2716,137
160,2259,139
161,3038,139
162,2340,139
163,2352,141
164,2849,141
165,2998,139
166,1728,141
167,2173,142
168,2209,141
169,1886,143
170,2130,143
171,2555,144
172,2974,143
173,2055,144
174,2440,143
175,3058,144
176,2304,145
177,2662,146
178,1689,146
179,1750,146
180,2497,146
181,1945,147
182,1910,145
183,1872,151
184,2728,149
185,2293,151
186,2516,151
187,1660,148
188,2367,151
189,1780,153
190,2698,153
191,2996,153
192,1846,153
193,2326,154
194,2339,155
195,2104,155
196,2237,154
197,2440,156
198,2880,155
199,3181,154
200,1643,157
201,1861,157
202,2269,157
203,2939,157
204,1957,157
205,3168,157
206,2130,157
207,2983,160
208,1806,160
209,1827,162
210,2199,161
211,2307,161
212,2387,161
213,2503,161
214,3140,161
215,2376,161
216,1996,164
217,2827,163
218,2719,165
219,2536,166
220,1839,166
221,1852,169
222,2031,166
223,1898,168
224,2249,169
225,2134,169
226,2187,168
227,2345,169
228,3165,170
229,2059,170
230,1679,171
231,1936,173
232,3199,173
233,1736,174
234,2426,174
235,2736,174
236,2087,174
237,2282,175
238,3085,175
239,1953,176
240,2508,176
241,1553,177
242,1613,173
243,2328,176
244,1771,177
245,2046,179
246,2112,179
247,2405,178
248,3111,178
249,1537,179
250,2645,179
251,3066,180
252,1523,181
253,2148,181
254,2184,182
255,2837,181
256,2981,180
257,1640,181
258,1822,181
259,2024,183
260,1801,184
261,2205,184
262,2754,183
263,1513,186
264,1844,186
265,2487,184
266,3215,185
267,1502,185
268,1784,186
269,1971,186
270,2456,187
271,2912,187
272,2326,189
273,2094,188
274,2305,189
275,3166,189
276,2532,190
277,2502,190
278,3098,192
279,2266,192
280,2675,193
281,2112,195
282,2928,194
283,1803,196
284,2969,195
285,2440,196
286,2727,196
287,1987,197
288,2471,197
289,2514,197
290,1609,200
291,1694,198
292,1823,199
293,1877,198
294,2651,199
295,2800,197
296,3130,197
297,1630,200
298,2349,198
299,2493,200
300,2750,199
301,2034,200
302,1673,201
303,2205,201
304,3207,202
305,2079,202
306,1838,203
307,2767,202
308,3094,204
309,1789,204
310,3145,205
311,2166,205
312,2293,205
313,2945,207
314,1455,207
315,2987,206
316,1768,208
317,1988,207
318,2099,207
319,3076,208
320,2261,209
321,1933,210
322,2280,211
323,2854,210
324,1972,211
325,2371,211
326,2504,212
327,2720,212
328,2777,212
329,2793,212
330,2029,212
331,2439,213
332,2559,211
333,1435,213
334,2141,213
335,2327,213
336,2517,212
337,2010,215
338,2899,217
339,2217,217
340,3264,217
341,1459,226
342,1995,219
343,2123,218
344,2528,217
345,2967,216
346,1947,219
347,2485,220
348,2543,219
349,2053,220
350,2419,221
351,1427,221
352,1910,221
353,2812,221
354,2099,223
355,2183,221
356,2981,222
357,3216,222
358,2273,225
359,3002,223
360,2043,225
361,2298,224
362,2026,226
363,1628,225
364,2518,227
365,2918,229
366,1843,227
367,1882,226
368,2874,227
369,1806,227
370,2247,228
371,3309,228
372,3328,228
373,2157,230
374,2332,228
375,2573,229
376,3227,229
377,1927,231
378,2747,228
379,2535,231
380,3173,230
381,1415,233
382,2968,232
383,1755,233
384,2176,234
385,2927,232
386,1582,235
387,2361,235
388,2854,236
389,1728,236
390,2693,237
391,2712,237
392,1969,239
393,1769,239
394,2396,239
395,2896,239
396,1643,240
397,1828,239
398,2486,239
399,3181,240
